1;0,7;41,26666667;3,44;3
2;0,866666667;56,61666667;7,4;4
3;1,55;30,65;5,72;3
4;3,483333333;31,34833333;5,6;4
5;5,466666667;35,85;7,4;1
6;7,633333333;38,86666667;9,06;2
7;9,916666667;69,66666667;8,41;3
8;13,25;42,01666667;9,3;3
9;13,48333333;47,18333333;8,4;3
10;14,05;54,33333333;7,8;3
11;16,68333333;36,45;5,8;2
12;18,3;-12,18333333;6;4
13;19,98333333;22,71666667;7,5;4
14;20,2;38,35;7,4;4
15;20,75;30,7;7;4
16;21,01666667;68,16666667;6,8;4
17;22,78333333;58,1;7,2;4
18;23,33333333;61,2;10;4
19;23,4;61,58333333;5;1